sample_id	donor_id	tissue	ex5_6	ex6_7	log_ex5_6	log_ex6_7
"GTEX-14BIM-3126-SM-5Q5C7"	"GTEX-14BIM"	"Brain - Cerebellum"	34	23	3.55534806148941	3.17805383034795
"GTEX-14BIN-0011-R10a-SM-5S2UA"	"GTEX-14BIN"	"Brain - Frontal Cortex (BA9)"	52	48	3.97029191355212	3.89182029811063
"GTEX-14BIN-0011-R11a-SM-5SI79"	"GTEX-14BIN"	"Brain - Cerebellar Hemisphere"	11	10	2.484906649788	2.39789527279837
"GTEX-14BIN-0011-R2a-SM-5S2RJ"	"GTEX-14BIN"	"Brain - Substantia nigra"	20	18	3.04452243772342	2.94443897916644
"GTEX-14BIN-0011-R3b-SM-6AJBL"	"GTEX-14BIN"	"Brain - Anterior cingulate cortex (BA24)"	44	25	3.80666248977032	3.25809653802148
"GTEX-14BIN-0011-R5b-SM-5SI78"	"GTEX-14BIN"	"Brain - Caudate (basal ganglia)"	33	31	3.52636052461616	3.46573590279973
"GTEX-14BIN-0011-R6a-SM-5S2RH"	"GTEX-14BIN"	"Brain - Nucleus accumbens (basal ganglia)"	41	35	3.73766961828337	3.58351893845611
"GTEX-14BIN-0011-R7b-SM-5S2RI"	"GTEX-14BIN"	"Brain - Putamen (basal ganglia)"	15	19	2.77258872223978	2.99573227355399
"GTEX-14BIN-0011-R9a-SM-5SI76"	"GTEX-14BIN"	"Brain - Spinal cord (cervical c-1)"	65	64	4.18965474202643	4.17438726989564
"GTEX-14BIN-3226-SM-62LDR"	"GTEX-14BIN"	"Brain - Cortex"	79	74	4.38202663467388	4.31748811353631
"GTEX-14BIN-3326-SM-5Q5E6"	"GTEX-14BIN"	"Brain - Cerebellum"	13	7	2.63905732961526	2.07944154167984
"GTEX-14BMV-0011-R3a-SM-5ZZU7"	"GTEX-14BMV"	"Brain - Anterior cingulate cortex (BA24)"	20	17	3.04452243772342	2.89037175789616
"GTEX-14BMV-0011-R5b-SM-62LFT"	"GTEX-14BMV"	"Brain - Caudate (basal ganglia)"	37	38	3.63758615972639	3.66356164612965
"GTEX-14BMV-0011-R6b-SM-5YY9I"	"GTEX-14BMV"	"Brain - Nucleus accumbens (basal ganglia)"	42	40	3.76120011569356	3.71357206670431
"GTEX-14BMV-0011-R7b-SM-5YY9J"	"GTEX-14BMV"	"Brain - Putamen (basal ganglia)"	40	37	3.71357206670431	3.63758615972639
"GTEX-14BMV-0011-R9b-SM-5ZZUA"	"GTEX-14BMV"	"Brain - Spinal cord (cervical c-1)"	96	72	4.57471097850338	4.29045944114839
"GTEX-14BMV-2926-SM-5TDEE"	"GTEX-14BMV"	"Brain - Cerebellum"	33	20	3.52636052461616	3.04452243772342
"GTEX-14BMV-3026-SM-5S2PQ"	"GTEX-14BMV"	"Brain - Cortex"	52	37	3.97029191355212	3.63758615972639
"GTEX-14C39-0011-R11b-SM-5YYAF"	"GTEX-14C39"	"Brain - Cerebellar Hemisphere"	42	27	3.76120011569356	3.3322045101752
"GTEX-14C39-0011-R3b-SM-5YYA3"	"GTEX-14C39"	"Brain - Anterior cingulate cortex (BA24)"	62	61	4.14313472639153	4.12713438504509
"GTEX-14C39-0011-R5b-SM-5ZZV1"	"GTEX-14C39"	"Brain - Caudate (basal ganglia)"	60	53	4.11087386417331	3.98898404656427
