lipid	n_pcs	cumulative_ld_variance	lipid_total_estimate	lipid_total_p	lipid_instrument_F	lipid_to_splice_estimate	lipid_to_splice_se	lipid_to_splice_p	first_step_instrument_F	splice_direct_estimate	splice_direct_p	lipid_direct_estimate	lipid_direct_p	splice_conditional_F	lipid_conditional_F	attenuation_fraction	indirect_estimate	indirect_se	indirect_p	posterior_probability_indirect_positive	all_strength_F_ge_10	confirmatory_mediation	status	minimum_conditional_F
"TC"	14	0.332687946843977	3.24300323959326	0.0102793156617628	6.79587090789792	-10.5946287800943	15.6350309547503	0.498011886887453	6.61473224433103	0.0491777646510361	0.000102166992332871	2.12830083873091	0.0195362907865331	7.15856087322792	4.76898169603729	0.34372534299477	-0.521020160712572	0.780501739928718	0.504423972088883	0.249031586751578	FALSE	FALSE	"completed"	4.76898169603729
"TC"	15	0.345344527261232	3.34978563615791	0.00836129505829194	6.34803980797801	49.2244110706786	19.5059541147669	0.0116173818075327	6.43671395461855	0.043416630334491	0.00028030321133678	1.78479187186792	0.0488224462629652	6.85095100907762	4.6440420648174	0.467192212957539	2.13715805888868	1.03116008159723	0.0382117184353765	0.994052785685279	FALSE	FALSE	"completed"	4.6440420648174
"TC"	20	0.40527701182958	2.55662905608795	0.0158074364310911	5.16634658931838	44.032592583912	15.6317875711873	0.00484953174249404	5.11636331203479	0.0354205151223466	0.0032096419163678	1.81755382173961	0.0603305046207994	6.16075567831704	3.70920973335947	0.28908191925161	1.55965711149458	0.765947168772724	0.041725626124179	0.995978195800747	FALSE	FALSE	"completed"	3.70920973335947
"TC"	25	0.458292210735739	2.69781958181363	0.00842313852549192	4.20289155118288	48.6265236124819	15.3920551594022	0.00158204894989436	4.34200494711174	0.0288400218377561	0.0111220713269744	2.04141347766298	0.0288949539337713	5.7642962290219	3.17017537935961	0.24330985977549	1.40239000287814	0.708640261357326	0.0478174480169828	0.993656737692197	FALSE	FALSE	"completed"	3.17017537935961
"TC"	30	0.503259228737905	2.28949583871454	0.00780813529622043	4.04696716364734	-1.32213794611458	8.08100036378514	0.87003763838423	4.18331664391757	0.0338434696172847	0.000587168235321333	1.7043927583972	0.0392328649924234	5.28897553494944	2.87478233670085	0.255559791995887	-0.044745735409188	0.273798695908108	0.870183292593037	0.435056974077379	FALSE	FALSE	"completed"	2.87478233670085
"LDL"	3	0.131326952677397	7.68241271995167	2.44726971734381e-05	9.3513412474894	91.9754418023268	61.0080143853328	0.131657943077652	9.94893319330843	0.0544452233717565	0.000923075837856521	2.48143835001264	0.113482827672986	11.4453829328029	8.59667652210184	0.676997521420816	5.00762347364367	3.64933896377435	0.170001138734651	0.933770255675304	FALSE	FALSE	"completed"	8.59667652210184
"LDL"	5	0.179948537108722	2.10815774513964	0.558006959438205	7.68895200830272	99.9999975349449	18.7698074640538	9.94614789391106e-08	8.02730500842465	0.051934590539208	0.000493442349660158	2.39390555453923	0.107778167085731	6.34393797037178	4.6709399253512	-0.135543846307699	5.19345892589917	1.78099266685863	0.00354496709992435	0.99975322911897	FALSE	FALSE	"completed"	4.6709399253512
"LDL"	6	0.201125625956122	2.24957417141165	0.352599726072947	7.92927174431553	-21.2272800347905	20.4707781556635	0.299756732343218	6.74357925302064	0.0587360761136023	0.0164695723428857	0.744748592641043	0.670496366130132	5.99128954065647	4.42445272946686	0.668937969636404	-1.24680713580821	1.30994593428365	0.341198191438213	0.155644719748755	FALSE	FALSE	"completed"	4.42445272946686
"LDL"	7	0.220799519095938	4.27288723467351	0.0461238307445188	7.49002200887219	-22.1720118109818	21.1408596967894	0.294281540710784	6.06679880987524	0.0607703326683412	0.00277072804652059	0.940033907938964	0.530585198170473	5.34268675787194	3.98241594610123	0.780000300426652	-1.34740053367976	1.36137355916937	0.322303133508004	0.148118447319442	FALSE	FALSE	"completed"	3.98241594610123
"LDL"	8	0.239723502015756	3.84466423339785	0.0620826876848739	7.34612527909071	-13.4934182890085	16.3795563204093	0.410055296538232	7.57437893048461	0.050544008613645	0.0350141766927045	1.84134610578869	0.250295684646297	4.67965791558994	3.5113806281916	0.521064521111291	-0.682011450227162	0.888850241916758	0.442905402348007	0.215355862312084	FALSE	FALSE	"completed"	3.5113806281916
