analysis_block	source	doi	method	tested_direction	cell_type	gene	effect	effect_metric	p_value	adjusted_p_value	multiplicity_method	nominal_p_lt_0_05	adjusted_p_lt_0_05
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	L6b Neuron	TSPAN14	-0.0936308368979095	mean log2 fold change across datasets	0.273384843102427	0.960826167360148	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	L6_IT_Car3 Neuron	TSPAN14	0.129278421586885	mean log2 fold change across datasets	0.5219516479179	0.966460824945727	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	Astrocytes	TSPAN14	-0.267861663058255	mean log2 fold change across datasets	0.396956496283139	0.974043667842257	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	VIP Neuron	TSPAN14	-0.0015081537876241	mean log2 fold change across datasets	0.942949674363529	0.97502256430498	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	Sst Neuron	TSPAN14	0.397192938562061	mean log2 fold change across datasets	0.693409183606342	0.975159200052628	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	Lamp5 Neuron	TSPAN14	0.0315190577591644	mean log2 fold change across datasets	0.452173606999539	0.975477139661864	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	Microglia	TSPAN14	-0.231986159042052	mean log2 fold change across datasets	0.973981823564239	0.975562956384448	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	GABA_Inhibitory_Neuron	TSPAN14	0.15050027204088	mean log2 fold change across datasets	0.357034583251102	0.975887198210644	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	Oligodendrocyte_Precursor_Cell	TSPAN14	-0.367678312383024	mean log2 fold change across datasets	0.934692191303204	0.975889895401618	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	Oligodendrocytes	TSPAN14	-0.602750908555234	mean log2 fold change across datasets	0.975897026511414	0.975897026511414	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	Glutamatergic_Excitatory_Neuron	TSPAN14	0.273117707197774	mean log2 fold change across datasets	0.449332366291691	0.976000355239787	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	Pvalb Neuron	TSPAN14	0.149097490863906	mean log2 fold change across datasets	0.573069008617854	0.976305177290968	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	L23_IT Neuron	TSPAN14	0.338437014793619	mean log2 fold change across datasets	0.349936977830406	0.978449707256102	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	Endothelial_Cell	TSPAN14	-0.282801765486332	mean log2 fold change across datasets	0.966685560160516	0.9790391421617	Benjamini-Hochberg FDR	False	False
